name,avg_rating,description,category,price_range,location_type
Arabesque Restaurant,4.0,"I just chewed on fat and gristle for my meal, what a waste of time. Totally inedible. I wouldn’t mind but I come here regularly. Sharwma, totally pointless, now I have to eat again tonight. Spent 100s of thousands in here, won’t bother again. Disgusting....Complained, no one cared.More Maybe the most serene and peaceful environment of any terrace/patio/alfresco place in bustling Lagos.
Quality of food poor, service inefficient. Price ridiculous.
Better choices for Lebanese available for the same price.
Conclusion, never ever again. I really like this place. The outdoor has this arab feel, Alladin kind of vibes - Beautiful & Colourful. The inside is a lot more formal, with nice food and cocktails. Lagos is just that city!",Casual Dining,Moderate,Island
B.L. Restaurant,4.5,"We ordered hummus with mince as our appetizer then quinoa salad and seafood pizza for our mains.
The service was good, waitresses very attentive etc👏🏾👏🏾👏🏾 but the food wasn’t nice. The pizza was almost tasteless and the quinoa salad lacked stated ingredients (e.g. sweetcorn). Not...sure I’ll be back here by choice.More I almost ordered the mixed grill but at the last moment changed my mind and ordered a pasta dish.  I also ordered the tabouleh which was very delicious!  When the pasta arrived I was looking at my friend's mixed grill and was disappointed I ordered...the pasta.  The mixed grill was definitely a better choice, but next time I will know.  The servers were attentive and helpful.  Overall a good experience, especially because we had a big group.More We placed the orders but only one of us got the meal...... isn't it sufficient?  the waitress was untrained and rude and try to blame us for their fiasco.",Casual Dining,Moderate,Island
Bar Campione,4.0,"A sports bar. Good for partys and musics. Food is good. Located in a good place.Enjoyable during sports events. This place started quite well and the food is quite good.
In the recent past, its concentration has been on being a watering hole.
Food quality has dropped and service too. good value for money
lively

good value for money
lively
good value for money
lively

good value for money
lively",Casual Dining,Moderate,Island
Basilico Italian Restaurant,3.5,"Fantastic cappuccinos. Great sandwiches - ham, mortadella all fresh. The pasta isn't okay as well. All very affordable. 8.45 Saturday 27th October 2018. I visited for breakfast. A helpful guy directed me to parking. Walked into restaurant and it was deserted, absolutely empty, no customers and no staff. The tv was blaring out music to make your ears bleed. I seated myself and...waited and waited. I shouted but could not compete with the tv volume. I walked around and found the menus and sat down again and waited. I checked my phone to make sure that no nuclear clearance warning had been given to evacuate the area, however the world seemed normal. The menu for my first meal of the day looked good and I had eaten here in the past for a business dinner but unless I cooked the food myself Basilico was not going to provide my sustenance this morn. I reluctantly stood up and left.More Basilico is one of the Italian restaurant I visit with my family ,  I like only Penny pasta in pesto ,you don't get  Pizza Here , ambiance is not so so ,",Fast Food,Budget,Island
Bay Lounge,4.0,"Nice open air place. We went on a Saturday night and enjoyed the live music. Food and drinks were reasonably priced for Lagos. Food was nothing special but I really enjoyed the environment by the water. Waiters were pleasant. SLOW SERVICE!!!! meal is ok tho, but the service was so damn slow it made me really dislike the place. They should work better of prompt customer service .. Bay Lounge is a great place for a relaxing evening outdoors, an added bonus is the prices are also quite reasonable. It's mainly made up of a very large outdoor sitting area with one section facing the lagos lagoon. There's sometimes a live band performing...and other times, just a DJ. The food and drinks are good and you can go there either well or casually dressed. It's more alive in the evenings / nighttime though there open from the afternoon downwards I think. 

The place is a winner anytimeMore",Casual Dining,Moderate,Island
Bistro 7,4.0,"My most recent experience was a total disappointment. The great meal at the restaurant was spoiled by the terrible customer service. The staff seems absolutely uninterested in helping me or answering any of my questions. Even when I expressed my concerns after leaving the restaurant,...little interest was shown . 
Finally, I would never suggest that anyone eat at this restaurant.More You have the option to be seated inside or in the garden (if the weather is cool), nice cocktail and shisha collection! Dishes were dirty. The waiter didn’t apologize at all for the dirty dishes. The food was okay not exceptional. The food wasn’t worth the high price.",Casual Dining,Moderate,Island
Black Bell,3.0,"The place has a variety of Nigerian and intercontinental dishes. The price is affordable and the dishes are tasty.
I plan to come back again there are flies flying around the food bad service people don't awnser to other people and they talk badly The food tastes so nice like homemade.... I love the environment too😍 Restaurant filled with all kinds of dish and also situated in a nice environment",Casual Dining,Budget,Island
Bombay CafÈ,4.5,"love ordering from here , the food is always amazing and the staff are lovely ! gorgeous king prawn on puri starter and lamb dish for main gorgeous Bombay Cafe is a nice and small Indian restaurant in the Mega Plaza shopping mall. Nice food and good service This is a small restaurant in the food court of a shopping mall , Mega Plaza in Victoria Island... Menu is typical north indian food options... service is also just fine .. you can order for take aways & home delivery also in the surrounding...areas.More",Cafe,Moderate,Island
Bonzai Restaurant,4.0,"This is what was sold to me today that is as good as poison.  The smell is so bad that even a blind person will know it was spoilt.  Pls note that this is my first time ordering sushi from your restaurant, and it surely...will be the last time.   I Normally eat sushi at bungalows and I frequently eat sushi abroad but I will give your resturant a PhD award of the most terrible sushi I have ever ordered that is not fit for Human consumption and the best place for it is in the Dustbin.  Thank you for wasting my money and giving me a truly terrible experience with your resturant but I shall let the world know never to come and buy food at your resturant.More For the past five years I’ve always come here alone. That’s how amazing it is 😋

Always go for a sushi platter, I promise you  won’t regret it. Always fresh and yummy. And you can always ask for a fish to be replaced for another...one. Average sushi platter costs N10,500.

Cheese cake tastes soo good.

Amazing ambiance, good food,great music, love it!More I went to Bonzai with a group of 3 other girlfriends for  dinner at their Tepanyaki  station and it was an amazing !!
From start to finish, you could tell that  they went to great lengths to ensure we had a good evening. 
The Sushi...was delicious, the bread was nice, the soup was very tasty and the dinner itself was sumptuous. We had lobsters, chicken, fish and prawns and there were no complaints on any item. Rice was delicious the vegetables were crunchy and all the protein deliciously seasoned. The show was nice too.

Service was Excellent. It would have been nice to have my preferred wine choice in stock and not have to buy a more expensive wine, but that didn't dampen our evening.   There was even a surprise Desert ""mothers day""  ice cream at the end, all on the house. That was a very nice touch. We all had a very enjoyable time. We will be back for sure!More",Fine Dining,Premium,Island
Bottles,4.0,"I ordered via Jumia. Food arrived totally spilled. No way to contact the restaurant. Very disappointing. The waiter tried to ripp-me-off by telling that the price list was old and the prices changed, he told that I needed to pay 1500 naira more that on the pricelist.
The new pricelist wasn’t printed yet but the chicken became more expensive, I ordered...a beef burger?
I requested the manager, after some time she came and I ended up paying what was on the pricelist listed. 
About the burger: it was dry, and due of the argument it didn’t taste me anymore. 
I pay left and will not come back!More The atmosphere was very serene, good food, good vibes. 100% recommend. I love a place where i can think and i got just that",Fast Food,Premium,Island
Brazerrie,4.0,"I guess the food was ok. Although the fresh fish had a lot of bones in it. The staff were professional and polite.More Dear Solas471,

Thank you for taking your time to share your experience at the Four Points by Sheraton Lagos through this platform. As a valued customer, we appreciate your feedback and are pleased to hear that you had a great stay, every process has been...More I had the pleasure of staying at Four Points by Sheraton for a night with my wife and we had both dinner and breakfast at this restaurant......IT WAS WONDERFUL!!! 

The choices are pretty much what is expected from a high rate restaurant but what I...fell in love with is their Water Melons. Their fruit choices were absolutely exquisite.
The atmosphere that evening was lovely as the room was well lit yet subtle enough to give that elegant feel to each meal. Buffet style dinner and breakfast yet it looked specially cooked for you. 

The only down side to my experience was the breakfast chef who was making the omelets, who had the air of sheer arrogance about answering simple questions and doing his job. The line for what he was doing was quite long but his final output was worth the wait though.

The coffee choices wonderful; the array of fresh fruit juices was exceptional; the meat and chicken done right and finally the clean up was on time and professional. 

I will definitely recommend this place to anyone who wants good service and food choices.More",Fast Food,Moderate,Island
Breeze Beach Club,5.0,"A day to remember in this amazing resort. The pool with the bar inside or the cabana where we all sat and enjoyed the amazing weather.
Alll combined to give us a memorable day that for sure will be repeated. I have been to many...beachs already but this is one that is for sure to be visitedMore Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More Breeze is a very exclusive and remarkable beach club. You are transcended from hustle and bustle of Lagos to this serene and aesthetically pleasing location. You are welcomed by the amazing hosts who are very polite and friendly. The customer service was exceptional. Our waitress...Vanessa was very well trained, conversant and knowledgeable about the food and drinks menu, she made some very good recommendations based on what we told her about our dietary preferences. Throughout our stay she kept checking in on us to make sure everything was up to the standard we expected. As day turned into night, the scenes became even more beautiful and the vibes were unmatched. If I was to make a comparison, the closest comparison would be like some beach clubs in Santorini, Mykonos or South of France. Definitely one to make sure you visit and gain membership. You will not be disappointedMore",Casual Dining,Moderate,Island
Brown's CafÈ and Restaurant,3.0,"On the 27th of October, some friends and I came to your restaurant for dinner . We were about 20 and we had paid in advance for dinner and drinks. We requested for a Buffet cause we where doing a get together celebration. 

1. Your...waiter gave us a different higher price for alcoholic drinks, wen we asked him why he was giving a different price from the menu he couldn’t explain. We asked him to call the manager so she could explain what was going on. The manager was so down dress that we wondered how a manager could be dressed like that . 

2. The food was so small, that it didn’t even go round for everyone. Had to call the manager again to complain about how little the food was for the kind of money we paid . 
🤔. 

3. As we rounded up the dinner, one of the waiters came to ask if any of us was driving a sliver Jeep because some thieves had broken the window of the car . 
We all quickly rushed downstairs to check and yes it was one of our cars. 
We asked the security what had happened and they really cannot explain anything because the car was parked right next to them. They gave one lame excuse that a car drove straight to Jeep, broke the window and stole the phone inside. 
It was clear that it was an inside job, cause how did the thief know that the was a cell phone in the car.? 
We were so disappointed over everything, we all left immediately.More So far so good a good environment to eat and discuss, I was looking forward for a nice dinner based on fish. And there I found it, spaghetti allo scoglio and a second course of grilled fish of the day I guess was GiantAfrican aka...Shininose. In a nut shell not bad at all just ask them to go easy on the chili pepper if you don't tolerate spicy food.More Good quality international cuisine, but slow service. I was recommended by a friend and was indifferent about my experience.",Fast Food,Moderate,Island
Bubbletii Boba,5.0,"Bubble tii for every reason will inspire your day with bubble tea infused with various flavors. Located at aaron's mall in Lekki with such a clean serene outside settee.. first time having bubble tea was at bubbletii shop, fell in love, haven't looked back since. now a proud bubble tea advocate. What are the odds that there's a bubble tea shop in Nigeria? Well there is, and it's a great place to hang out.  They even have board games to play with. They have great bubble tea because the owner was trained in Taiwan but her...bubble waffles are even better than the ones we have back home made by the asains. The owner was such a great host as well. She gave us great recommendations for what to do, where to eat and a cheaper mode of transportation. Trust me, this place will not disappoint!More",Casual Dining,Budget,Island
Bukka Hut,3.5,"Tasty meals you can't resist at all times. A wonderful experience in all. Whatever the weather and whatever the occasion, timely meals with an equal taste of the best is what I always get. It was a delivery on a Wednesday Morning 

The rice was stale and tasteless with spoilt sausage, which made me nauseous and the plantain was refried with bad oil, equally tasted horrible 😫. The chicken was a complete disaster and has obviously been left in...the store for weeks, it wasn't fresh nor tasty one bit. All I wanted was a nice meal for breakfast but I got an awful meal after paying the sum of 3900. Ordinary dodo could not be made well thoughtless of chicken and jambalaya rice. It was so bad I had to give it to my sales girl and she threw it away. It is really painful because I was advised against patronising Bukka Hut and now I know why. I have informed my staff to equally spread the news of how you deliver spoilt food to customers. To imagine this was my first time and I just wanted to have a good time with a great breakfast. I AM EXTREMELY DISAPPOINTED FOR CHOOSING BUKKA HUT.More I was here to grab a quick lunch with a colleague. The main thing was that the food was tasteful and service level was good.",Fast Food,Moderate,Island
Bungalow Restaurant,4.0,"Bungalow restaurant has been in existence for as long as I can remember and that's a remarkable feat (especially in this environment). The wear and tear of age shows a little bit on and in the building if you look closely enough but that's understandable....It's a mid-sized restaurant offering oriental cuisine and with about 3 or so different indoor sections (the bar, main restaurant area and then a smaller section where you can host private gatherings such as birthdays); there's also an outdoor sitting area though I hardly see this space used. Service can be a bit slow especially on busy days/nights e.g. weekends, the staff and manager are quite attentive and friendly - for me, this is always a big plus since I'm a sucker for good customer service. 

Overall it's a nice place for a night out with friends/family.More If you are having serious doubts about this place,common you've got no worries.. I will just tell you come and join me and let's have fun Had a birthday dinner here. The food tasted nice but the plating wasn’t impressive. It wasn’t inviting to eat and the portion was okay. The decor also looked old fashion and the serving mat looked old fashioned more like a local bukka.",Local Buka,Moderate,Island
Burg,2.5,"- People are nice and its a nice place. Dont come here if in a rush. Waited 65 min for 2 burgers and some cajun fries. Unacceptable obviously. 
- Fries are good but portion = 1 potato (should be at least twice as much to...be honest). 
- Burger is ok but the patty is ridiculously thin, and there should definitely be more lettuce inside the burger. That would change the experience completely. Try to put some shredded lettuce instead - you’ll see it will please costumers. 
- I’ve never tried the smoothie bar products but they look good.
- Never had a dessert either. 
- Fun place to meet or spend 1h with some friends
- Sanitary protocol is well respected. Must say. 

Try it and make your own opinion about it. That is mine. 3/5More Visited this place 9months ago,  walked into a hot and stuffy space and left without ordering.
I decided to give it another try, still hot and stuffy! Had the OG burger which was fair but the pattie was on the edge of tasting off.
Vanilla...milkshake cost 2500 but tasted like baby food/milk.
Had to order takeout and eat in the car because the atmosphere was not great.
Definitely won't be going back anytime soon!More From walking in it was a huge disappointment. Usual bunch of bored, untrained staff staring at us like we dropped from Mars. They don't have coffee????!!!!!! There was no welcome, no smiles. I wanted to leave immediately but had to endure as my wife wanted...to treat us. We waited for our burgers and yes they were okay, but the service is CRAP. Burgers for 2 adults and two children came in one tray and no one had the initiative to offer additional trays. I asked for two additional trays only to discover they were soiled and dirty (the girl apologized but didn't attempt to bring new ones. The cheese fries we got were soggy and smothered in cheese (like they were trying to hide something) meanwhile it was served to us without cutlery. On Burg Instagram page it was served with a fork. Really sad, the management should consider training (I can help you) . There was an off menu burger which wasn't marketed to us at all lost opportunity to upsell. Right now I won't be recommending or coming back.More",Fast Food,Moderate,Island
Cactus Restaurant,4.0,"Charged me twice and stole £98 from me, no email to contact for a refund. The waiter lied and said the first transaction didn't go through and made me give my card again, but then got charged twice! I want my money back. Visited after church last Sunday.  Seems to be a popular place.  Clean and pleasant.  I had dundun and dodo and prawns.  Unfortunately, the only way I could get prawns on the side was to have them breaded and fried which is not what I prefer....I peeled off the breading and they were still good. The dundun and dodo were okay but not spectacular.  I had a drink with ginger in it.  My friend had a fritata.More I hadn't been to this restaurant in a while and a friend who was equally bereaved convinced me to go with him.
It was the best decision I'd made in the last ten months. 
Initially we were both at a loss of how to employ...the QR code  menu,we insisted on hard copy ones which we got with smiles....obviously these grey heads are not up to date.
We decided on an entree of fried baby calamaris and a meal of medium well grilled filet Mignon.
Wow I tell you we had our socks blown off by the deliciousness of these plates,the calamari was crisp ,hot and delicate to the palate as expected while the steak was melt in your mouth beef with the loveliest black pepper sauce and fried rice as carbs.
I went back alone on a later date to have ice-cream...my choice was lemon cheese cake flavor,I so relished it it took me a whole hour to lick just one scoop.
This is a lovely restaurant for ambience and meals......I only wished the clientele could be more considerate,there tended to be a lot of noise.More",Fine Dining,Moderate,Island
CafÈ Vanessa,3.0,"This place is not existing anymore. Now there is Casper & Gambini's restaurant-cafe. Its good for lunch meetings, business meeting,etc. its located in very central part of Lagos. Easy access and parking. Was an interesting experience...food is good and colorful..service is poor....could be better...it's not va.ue for money....it wouldn't be my first dining choice.... Had a surprise dinner for my husband on his birthday and we had about 25 friends over at this restaurant . I enjoyed working with the team and didn't have to supervise at any point. Food was great and the service well coordinated. I will...recommend cafe Vanessa any day. Keep it up guys!More",Cafe,Moderate,Island
Calabar Kitchen,4.0,"I paid a few visits to this place and on every occasion the service I received was exceptional. The food was great and the atmosphere was good most times, and at times excellent. The staff are very courteous. THE cuisine environment is organized and peaceful. The lighting is proper. Despite its a kitchen...everywhere smells fresh. You have the choice of assorted drink choices from juices, water, wine(alcoholic and non-alcoholic), beer, soft drinks, yoghurt etc to wash down the...meals or keep you relaxed.
It’s a nice place. Am sure they have a plan to keep customers coming back...maybe rewards. Am just saying!!!! I get that from some other kitchens in ikeja and we are loving it!!!!!!😁More Splendid place to be with families,friends and business meetings,very cozy and quiet,romantic environment,really wish to be visiting CALABAR KITCHEN on daily basis for most fulfilment of my stomach needs.Request everyone to pay a visit and get your optimum satisfaction.",Fine Dining,Moderate,Island
Casa Lydia,4.0,"I really enjoyed my time there, it was a nice experience filled with delicious delicaices.
I would definitely encourage you to visti Casa Lydia serves well portioned tasty dishes right in the heart of Ikoyi.
And they do not demand a king's ransom. 
There are many new restaurants opening in the Ikoyi/Victoria Island axis as the industry recovers from the COVID slump, Casa Lydia is poised to...attract /retain its clientele since great food trumps fancy architecture.More Food was nice and attendant was very nice and helpful because we in need of information regarding alot of thing because it was our first time visiting lagos.",Casual Dining,Moderate,Island
Casper and Gambini's,4.0,"The ambiance was generally good and suited for business and leisure. Had a business meeting and was glad we opted for the finger food we had. The sauce was tasty and hot and the fries came out just as i liked it - simply delish! The overall experience was nice and delicious meals were served with best performing staff members. The management team did their best to train their staff to satisfy the guests. Room furnishing was another plus to them but I needed a good more of the ethic...foods in their restaurant.
So amazing experience.More starter, main food (was a lot I couldn’t finish) and the drink were all pleasant. Good settings for almost everything; casual hangout, birthday dinner, meeting, blind dates(you’d easily find your date).",Casual Dining,Moderate,Mainland
Chai Tang,3.5,"Ordered for take away delivery.

The food was 2 hrs late.
Dish was not what was ordered and paid for.

Call to speak to manager Maria, only for the line to cut off.

Terrible customer service. Never again Beautiful restaurant with a great ocean view.  My husband and I ordered chow mein noodles with pork and both got food poisoning. We were both sick the entire day.  We called the management twice and left messages. We finally called again and spoke to the...manager. She said she’d look into it and call us back.  She called back and said they put something in the noodles and it will make you sick…….what???  She said you can tell them not to put it in the food next time.  OMG, who would intentionally put something in the food that makes you sick.  How would anyone know to tell a restaurant not to put an ingredient in the food that will make you sick.  No…..this is NOT an ingredient, this is FOOD POISONING!!!  We will never go there again! She didn’t even offer to comp or do anything to make it right.More Dear E7750LXjackiem,

I am very sorry about your experience at our restaurant and the call you made.  We do not use poisoned spice or vegetables for our food which is prepared under top hygiene environment. The Chow mein Noodles you ordered for is prepared with...More",Casual Dining,Moderate,Island
Chicken Republic Diya,1.0,The food is terrible and chicken republic at diya gives stalled spoilt chicken!!!! Wtf!!! The taste is awful 😡😡😡😡,Casual Dining,Moderate,Mainland
Chinaville Chinese Restaurant,3.0,"Terrible delivery service. Ordered food just after 7pm for a birthday celebration. Nearly 10pm they still didn’t deliver. And this is just VI to Lekki. Complete embarrassment. Zero customer service and care Always slow or will forget some items. Maybe they should stop delivery services altogether and I've been calling them since for update, they are not picking. The restaurant was empty when I wen on a Saturday afternoon, that's strange. I ordered the prawns 🍤 on the hot plate and special fried rice and I must say it was delicious.",Casual Dining,Moderate,Island
